id,category,index,text
181,181,10001003,デビュー戦の後に
181,181,80000001,プロローグ
181,181,90001001,『はじめまして！』
181,181,90001002,『いってきます』はここから
181,181,90001003,ようこそトレセン学園へ！
181,181,90001004,早すぎた1日
181,181,90001005,ここで走る意味
181,181,90001006,眠れない夜、そして
181,181,90001007,『唯一抜きんでて並ぶ者無し』
181,181,90001008,きっとここから、必ずここで
181,181,400000001,たづなさんの育成アドバイス
181,181,400000005,トレーニングLvアップ
181,181,400000008,コンティニュー
181,181,400000009,理事長の評価アップ
181,181,400000010,理事長の評価アップ
181,181,400000011,理事長の評価アップ
181,181,400000012,理事長の評価アップ
181,181,400000031,記者の評価アップ
181,181,400000032,記者の評価アップ
181,181,400000033,記者の評価アップ
181,181,400000034,記者の評価アップ
181,181,400000035,Reporter Otonashiの悦楽取材
181,181,400000036,Reporter Otonashiの徹底取材
181,181,400000037,夜ふかし気味で……
181,181,400000038,お肌の調子が……
181,181,400000039,不在の理由は……
181,181,400000040,想いの継承
181,181,400000041,夏合宿のお知らせ
181,181,400000042,想いの継承
181,181,400000043,お大事に！
181,181,400000044,無茶は厳禁！
181,181,400000045,急いで初勝利を！
181,181,400000090,エンディング
181,181,400000091,『月刊トゥインクル増刊号』
181,181,400000400,たづなさんの育成アドバイス
181,181,400001002,『URAファイナルズ』開催！
181,181,400001013,“スターウマ娘”目指して！
181,181,400001014,エリートトレーナーとの出会い
181,181,400001015,変人記者、登場！？
181,181,400001016,イベントを開催せよ！
181,181,400001017,二人三脚
181,181,400001018,にんじん大農園にて
181,181,400001019,ファイナルズ開催危機！？
181,181,400001020,手を取り合って
181,181,400001021,『URAファイナルズ』出場決定！
181,181,400001022,開催成功！
181,181,400001023,決起ッ！　夜明け前ッ！！
181,181,400001024,上々の面構えッ！
181,181,400001025,トレーナー並の知識
181,181,400001026,“記者”の使命
181,181,400001027,愉快ッ！　密着取材！
181,181,400001028,桐生院の休日
181,181,400001029,ハッピーな靴選び
181,181,400001030,開催大成功！
181,181,400001031,URAファイナルズ予選にむけて
181,181,400001032,URAファイナルズ予選の後に
181,181,400001033,URAファイナルズ準決勝にむけて
181,181,400001034,URAファイナルズ準決勝の後に
181,181,400001035,URAファイナルズ決勝にむけて
181,181,400001036,URAファイナルズ決勝の後に
181,181,400001037,上々の面構えッ！
181,181,400001038,ゴールドクラス到達
181,181,400001401,『URAファイナルズ』開催！
181,181,400001402,“スターウマ娘”目指して！
181,181,400001403,エリートトレーナーとの出会い
181,181,400001404,変人記者、登場！？
181,181,400001405,イベントを開催せよ！
181,181,400001406,二人三脚
181,181,400001407,にんじん大農園にて
181,181,400001408,ファイナルズ開催危機！？
181,181,400001409,手を取り合って
181,181,400001410,『URAファイナルズ』出場決定！
181,181,400001411,開催成功！
181,181,400001412,開催大成功！
181,181,400001413,ゴールドクラス到達
181,181,501001100,Special Week登場！
181,181,501001101,新年の抱負
181,181,501001102,初詣
181,181,501001103,夏合宿（2年目）スタート！
181,181,501001104,夏合宿（2年目）にて
181,181,501001105,夏合宿（3年目）スタート！
181,181,501001107,バレンタイン
181,181,501001108,ファン感謝祭
181,181,501001109,クリスマス
181,181,501001110,エンディング
181,181,501001111,『ただいま』
181,181,501001112,温泉旅行
181,181,501001113,『ダービートレーナー』
181,181,501001114,ダービー記者会見！
181,181,501001115,ライバル登場、その名は……
181,181,501001116,“怪鳥”、そして“怪物”
181,181,501001117,燃える瞳、奮起
181,181,501001200,デビュー戦にむけて
181,181,501001201,きさらぎ賞にむけて
181,181,501001202,日本ダービーにむけて
181,181,501001203,菊花賞にむけて
181,181,501001204,天皇賞（春）にむけて
181,181,501001205,ジャパンCにむけて
181,181,501001206,有馬記念にむけて
181,181,501001300,夏合宿（2年目）終了
181,181,501001301,夏合宿（3年目）終了
181,181,501001302,福引チャンス！
181,181,501001303,デビュー戦の後に・めざすは日本一！
181,181,501001304,きさらぎ賞の後に・次はいよいよ……
181,181,501001305,日本ダービーの後に・『そうだね』
181,181,501001306,日本ダービーの後に・今日を糧に
181,181,501001307,菊花賞の後に・次に背中を見せるのは
181,181,501001308,菊花賞の後に・顔は下げずに！
181,181,501001309,天皇賞（春）の後に・きっと、また
181,181,501001310,天皇賞（春）の後に・背中に学ぶ
181,181,501001311,ジャパンCの後に・頂点へ！
181,181,501001312,ジャパンCの後に・ここから！
181,181,501001313,有馬記念の後に・誇りのウマ娘
181,181,501001400,Special Week登場！
181,181,501001401,『ダービートレーナー』
181,181,501001402,ダービー記者会見！
181,181,501001403,ライバル登場、その名は……
181,181,501001404,“怪鳥”、そして“怪物”
181,181,501001405,燃える瞳、奮起
181,181,501001406,夏合宿（2年目）スタート！
181,181,501001407,夏合宿（3年目）スタート！
181,181,501001408,デビュー戦にむけて
181,181,501001409,きさらぎ賞にむけて
181,181,501001410,日本ダービーにむけて
181,181,501001411,菊花賞にむけて
181,181,501001412,天皇賞（春）にむけて
181,181,501001413,ジャパンCにむけて
181,181,501001414,有馬記念にむけて
181,181,501001415,デビュー戦の後に・めざすは日本一！
181,181,501001416,きさらぎ賞の後に・次はいよいよ……
181,181,501001417,日本ダービーの後に・『そうだね』
181,181,501001418,日本ダービーの後に・今日を糧に
181,181,501001419,菊花賞の後に・次に背中を見せるのは
181,181,501001420,菊花賞の後に・顔は下げずに！
181,181,501001421,天皇賞（春）の後に・きっと、また
181,181,501001422,天皇賞（春）の後に・背中に学ぶ
181,181,501001423,ジャパンCの後に・頂点へ！
181,181,501001424,ジャパンCの後に・ここから！
181,181,501001425,有馬記念の後に・誇りのウマ娘
181,181,501001500,名指導
181,181,501001506,ダンスレッスン
181,181,501001507,ファンレター
181,181,501001508,レース疲れ
181,181,501001509,連続出走で……
181,181,501001510,青春のテニス日和
181,181,501001511,カラオケグルメ♪
181,181,501001513,ポーズはどうする？
181,181,501001514,想い、服に託して
181,181,501001515,今日も、明日からも
181,181,501001516,食堂でお腹いっぱい
181,181,501001517,気分も雨模様
181,181,501001518,巨大にんじん襲来？
181,181,501001519,アブない飲み物
181,181,501001520,昼下がりの恩返し
181,181,501001521,夜ふかし気味で……
181,181,501001522,お肌の調子が……
181,181,501001523,もしかして、天才かも……！？
181,181,501001600,武者震い
181,181,501001601,今度こそ！
181,181,501001700,寝不足で……
181,181,501001701,休息はバッチリ！
181,181,501001702,特別だからこそ
181,181,501001703,あなたと行きたい場所
181,181,501001704,尊敬できる人だから
181,181,501001705,もう少しだけ
181,181,501001706,研究熱心
181,181,501001707,神社でお祈り！
181,181,501001708,レース勝利！
181,181,501001709,レース入着
181,181,501001710,レース敗北
181,181,501001711,今度こそ負けない！
181,181,501001712,不在の理由は……
181,181,501001713,お大事に！
181,181,501001714,無茶は厳禁！
181,181,501001715,追加の自主トレ
181,181,501001716,ダイエット成功！
181,181,501001717,保健室にて
181,181,501001718,リフレッシュ完了
181,181,501001719,遠いかの地が恋しくて
181,181,501001720,あんし～ん笹針師、参☆上
181,181,501001722,頭痛で憂鬱
181,181,501001726,クレーンゲームに挑戦！
181,181,501001727,クレーンゲーム大成功！
181,181,501001728,クレーンゲーム成功！
181,181,501001729,クレーンゲーム失敗……
181,181,501001730,クレーンゲーム大成功！
181,181,501001731,クレーンゲーム成功！
181,181,501001732,想いの継承
181,181,501001733,想いの継承
181,181,501002100,Special Week登場！
181,181,501002101,新年の抱負
181,181,501002102,初詣
181,181,501002103,夏合宿（2年目）スタート！
181,181,501002104,夏合宿（2年目）にて
181,181,501002105,夏合宿（3年目）スタート！
181,181,501002107,バレンタイン
181,181,501002108,ファン感謝祭
181,181,501002109,クリスマス
181,181,501002110,エンディング
181,181,501002111,新たなライバル
181,181,501002112,温泉旅行
181,181,501002113,戦いの幕開け
181,181,501002114,私の走る意味
181,181,501002115,“女帝”の眼差し
181,181,501002116,超えたい“光”
181,181,501002117,譲れない想い
181,181,501002118,さらに先へ
181,181,501002200,デビュー戦にむけて
181,181,501002201,弥生賞にむけて
181,181,501002202,神戸新聞杯にむけて
181,181,501002203,金鯱賞にむけて
181,181,501002204,宝塚記念にむけて
181,181,501002205,毎日王冠にむけて
181,181,501002206,天皇賞（秋）にむけて
181,181,501002300,夏合宿（2年目）終了
181,181,501002301,夏合宿（3年目）終了
181,181,501002302,福引チャンス！
181,181,501002303,デビュー戦の後に・まだ見ぬ景色へ
181,181,501002304,目標達成の後に・秘密基地
181,181,501002305,弥生賞の後に・生まれた戸惑い
181,181,501002306,神戸新聞杯の後に・取り戻したもの
181,181,501002307,金鯱賞の後に・再起、躍進
181,181,501002308,宝塚記念の後に・鼓動と輝き
181,181,501002309,宝塚記念の後に・勝負の行方
181,181,501002310,毎日王冠の後に・そして“光”へ
181,181,501002311,天皇賞（秋）の後に・限界の先へ
181,181,501002400,Special Week登場！
181,181,501002401,戦いの幕開け
181,181,501002402,私の走る意味
181,181,501002403,“女帝”の眼差し
181,181,501002404,超えたい“光”
181,181,501002405,譲れない想い
181,181,501002406,さらに先へ
181,181,501002407,夏合宿（2年目）スタート！
181,181,501002408,夏合宿（3年目）スタート！
181,181,501002409,デビュー戦にむけて
181,181,501002410,弥生賞にむけて
181,181,501002411,神戸新聞杯にむけて
181,181,501002412,金鯱賞にむけて
181,181,501002413,宝塚記念にむけて
181,181,501002414,毎日王冠にむけて
181,181,501002415,天皇賞（秋）にむけて
181,181,501002416,デビュー戦の後に・まだ見ぬ景色へ
181,181,501002417,目標達成の後に・秘密基地
181,181,501002418,弥生賞の後に・生まれた戸惑い
181,181,501002419,神戸新聞杯の後に・取り戻したもの
181,181,501002420,金鯱賞の後に・再起、躍進
181,181,501002421,宝塚記念の後に・鼓動と輝き
181,181,501002422,宝塚記念の後に・勝負の行方
181,181,501002423,毎日王冠の後に・そして“光”へ
181,181,501002424,天皇賞（秋）の後に・限界の先へ
181,181,501002500,名指導
181,181,501002506,ダンスレッスン
181,181,501002507,ファンレター
181,181,501002508,レース疲れ
181,181,501002509,連続出走で……
181,181,501002510,スズカ流後輩指導？
181,181,501002511,しっとりパーティータイム
181,181,501002513,Landscape color
181,181,501002514,趣味、特技、休日の過ごし方
181,181,501002515,ウマドル☆猛特訓！
181,181,501002516,白い誘惑
